#{"t_start": 1578917383.376369, "env_id": null}
r,l,t
1.238095,11,1.213042
1.214286,10,1.238124
-9.761905,11,1.264517
1.166667,8,1.28484
-0.809524,9,1.30916
-0.761905,11,1.33626
1.166667,8,1.355665
1.190476,9,1.376969
1.142857,7,1.397332
1.119048,6,1.412552
-0.809524,9,1.437621
-0.785714,10,1.464145
-0.761905,11,1.494931
-0.809524,9,1.521102
1.190476,9,1.546203
1.095238,5,1.561363
-0.738095,12,1.594224
-9.690476,14,1.629796
-9.833333,8,1.649037
1.214286,10,1.674086
-0.833333,8,1.696582
1.142857,7,1.716183
1.142857,7,1.734675
1.166667,8,1.754315
-0.714286,13,1.784979
1.190476,9,1.807665
1.309524,14,1.840599
-9.595238,18,1.881376
-9.642857,16,1.917844
-0.904762,5,1.931293
-0.738095,12,1.959783
-0.833333,8,1.980067
-0.857143,7,1.997287
-0.928571,4,2.00842
-9.761905,11,2.033136
1.214286,10,2.058121
-0.857143,7,2.077175
-9.690476,14,2.110956
1.309524,14,2.14696
-0.738095,12,2.181656
-9.738095,12,2.21495
-0.833333,8,2.238571
1.333333,15,2.277345
-9.714286,13,2.3099
1.261905,12,2.341934
1.238095,11,2.371698
-9.642857,16,2.418889
1.166667,8,2.444665
1.119048,6,2.463335
-0.857143,7,2.486355
-9.690476,14,2.523225
-9.785714,10,2.549168
-0.690476,14,2.585934
1.238095,11,2.611245
1.071429,4,2.62168
1.309524,14,2.652683
-0.666667,15,2.686443
1.095238,5,2.699029
-9.666667,15,2.733986
1.285714,13,2.765211
-9.714286,13,2.797968
-9.738095,12,2.830348
1.166667,8,2.852975
1.309524,14,2.889914
1.142857,7,2.909579
1.214286,10,2.934287
-0.761905,11,2.961406
-0.714286,13,2.994184
-0.738095,12,3.023819
-9.642857,16,3.152478
1.309524,14,3.192887
-9.738095,12,3.223992
-0.714286,13,3.257447
1.285714,13,3.286629
-0.785714,10,3.310172
1.309524,14,3.340754
-9.619048,17,3.377928
-0.928571,4,3.389908
